,Prime_Type,Chinese,translation_correct,translation_wrong,English_correct,English_wrong,Transformer_pred
1,PO_Prime,牛仔送了那本书给水手。,The cowboy gave the book to the sailor.,The cowboy gave the sailor the book.,The police gave a hat to the warrior.,The police gave the warrior a hat.,The cowboy sent the book to the sailor.
2,PO_Prime,厨师还了那个球给修道士。,The chef returned the ball to the monk.,The chef returned the monk the ball.,The professor returned a swimmer to the banana.,The professor returned a banana to the swimmer.,The chef gave the ball back to the monk.
3,PO_Prime,厨师扔了那顶帽子给水手。,The chef threw the hat to the sailor.,The chef threw the sailor the hat.,The painter threw the warrior a banana.,The painter threw a banana to the warrior.,The chef threw the hat at the sailor.
4,PO_Prime,海盗卖了那个球给水手。,The pirate sold the ball to the sailor.,The pirate sold the sailor the ball.,The police sold a gun to boxing.,The police sold boxing a gun.,The pirate sold the ball to the sailor.
5,PO_Prime,修女赏了那个水壶给医生。,The nun rewarded the kettle to the doctor.,The nun rewarded the doctor the kettle.,The painter rewarded an apple to the clown.,The painter rewarded the clown with an apple.,The nuns gave the pot to the doctor.
6,PO_Prime,修女丢了那个水壶给拳击手。,The nun lost the kettle to the boxer.,The nun lost the boxer the kettle.,The pirate threw a hat to the thief.,The pirate threw the thief a hat.,The nun lost the kettle to the boxer.
7,PO_Prime,教授借了那把枪给水手。,The professor borrowed the gun to the sailor.,The professor borrowed the sailor the gun.,The cowboy lent a banana to the thief.,The cowboy lent the thief a banana.,The professor lent the gun to the sailor.
8,PO_Prime,厨师递了那个苹果给医生。,The chef handed the apple to the doctor.,The chef handed the doctor the apple.,The professor handed a cup to the warrior.,The professor handed the warrior a cup.,The chef handed the apple to the doctor.
9,PO_Prime,牛仔租了那条香蕉给服务员。,The cowboy rented the banana to the waiter.,The cowboy rented the waiter the banana.,The police rented a hat to swimming.,The police rented swimming a hat.,Cowboy rented the banana to the waiter.
10,PO_Prime,水手抛了那个苹果给修道士。,The sailor tossed the apple to the monk.,The sailor tossed the monk the apple.,The painter threw a ball to the clown.,The painter threw the clown a ball.,The sailor threw the apple to the monk.
11,PO_Prime,警察拿了那个水壶给拳击手。,The police took the kettle to the boxer.,The police took the boxer the kettle.,The cowboy gave a banana to the clown.,The cowboy gave the clown a banana.,The police took the kettle to the boxer.
12,PO_Prime,教授交了那个球给水手。,The professor exchanged the ball to the sailor.,The professor exchanged the sailor the ball.,The painter handed the a gun to doctor.,The painter handed the doctor a gun.,The professor gave the ball to the sailor.
13,PO_Prime,武士交了那个蛋糕给舞蹈员。,The warrior exchanged the cake to the dancer.,The warrior exchanged the dancer the cake.,The professor gave the hat to the chef.,The professor gave the chef a hat.,The Samurai gave the cake to the dancer.
14,PO_Prime,海盗送了那个杯子给水手。,The pirate presented the cup to the sailor.,The pirate presented the sailor the cup.,The chef gave a kettle to the thief.,The chef gave the thief a kettle.,The pirate gave the glass to the sailor.
15,PO_Prime,画家还了那条香蕉给拳击手。,The painter returned the banana to the boxer.,The painter returned the boxer the banana.,The police returned a gun to the clown.,The police returned the clown a gun.,The painter returned the banana to the boxer.
16,PO_Prime,公主扔了那个球给小丑。,The princess threw the ball to the clown.,The princess threw the clown the ball.,The professor threw an apple to the doctor.,The professor threw the doctor an apple.,The princess threw the ball to the clown.
17,PO_Prime,警察卖了那本书给战士。,The police sold the book to the warrior.,The police sold the warrior the book.,The professor sold a cake to the doctor.,The professor sold the doctor a cake.,The police sold the book to the soldiers.
18,PO_Prime,厨师赏了那顶帽子给画家。,The chef rewarded the hat to the painter.,The chef rewarded the painter the hat.,The professor rewarded the gun to the warrior.,The professor rewarded the warrior a gun.,The chef gave the hat to the painter.
